record_type,identity,value_1,value_2,value_3,value_4,value_5,value_6,value_7,detail
acquisition_call,map:109|event:21|page:2,pbWildBattle,wild_encounter,"fusionOf(:MAGCARGO,:GRAVELER),23,1,false)",,,,,
acquisition_call,map:111|event:21|page:2,pbWildBattle,wild_encounter,"fusionOf(:MAGCARGO,:GRAVELER),23,1,false)",,,,,
acquisition_call,common_event:9,pbWildBattle,wild_encounter,":PARAS,4)",,,,,
acquisition_call,common_event:39,pbGenerateEgg,egg_candidate,pbGet(3)),,,,,
acquisition_call,common_event:79,pbWildBattle,wild_encounter,":SANDYGAST,10)",,,,,
acquisition_call,common_event:104,pbWildBattle,wild_encounter,":PUMPKABOO,pbGet(2))",,,,,
acquisition_source_call,012_Overworld/001_Overworld.rb:276,pbDoubleWildBattle,wild_encounter,"pbDoubleWildBattle(encounter[0], encounter[1], encounter2[0], encounter2[1])",,,,,
acquisition_source_call,012_Overworld/001_Overworld.rb:278,pbWildBattle,wild_encounter,"pbWildBattle(encounter[0], encounter[1])",,,,,
acquisition_source_call,012_Overworld/002_Battle triggering/003_Overworld_WildEncounters.rb:503,pbDoubleWildBattle,wild_encounter,"pbDoubleWildBattle(encounter1[0], encounter1[1], encounter2[0], encounter2[1])",,,,,
acquisition_source_call,012_Overworld/002_Battle triggering/003_Overworld_WildEncounters.rb:505,pbWildBattle,wild_encounter,"pbWildBattle(encounter1[0], encounter1[1])",,,,,
acquisition_source_call,012_Overworld/004_Overworld_FieldMoves.rb:1003,pbWildBattle,wild_encounter,"pbWildBattle(:TRUBBISH, 10)",,,,,
acquisition_source_call,012_Overworld/007_Overworld_DayCare.rb:82,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(pokemon),,,,,
acquisition_source_call,016_UI/019_UI_PC.rb:246,pbAddPokemonSilent,permanent_candidate,"pbAddPokemonSilent(:PORYGON,1)",,,,,
acquisition_source_call,016_UI/023_UI_MysteryGift.rb:512,pbAddPokemonSilent,permanent_candidate,if pbAddPokemonSilent(gift[2]),,,,,
acquisition_source_call,019_Utilities/002_Utilities_Pokemon.rb:68,pbAddPokemon,permanent_candidate,"pbAddPokemon(pokemon,level)",,,,,
acquisition_source_call,019_Utilities/002_Utilities_Pokemon.rb:152,pbGenerateEgg,egg_candidate,pbGenerateEgg(species),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:110,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(head_pokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:111,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(body_pokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:130,pbAddPokemon,permanent_candidate,pbAddPokemon(head_pokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:138,pbAddPokemon,permanent_candidate,pbAddPokemon(body_pokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:153,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(pokemonKeptInParty),,,,,
acquisition_source_call,052_InfiniteFusion/Fusion/Fusing_Unfusing/Unfusing.rb:154,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(pokemonSentToPC),,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/0_Utilities/MenuUtils.rb:224,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(caughtPokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/GameplayUtils.rb:24,pbStartTrade,trade_candidate,"pbStartTrade(chosen_position, npcPokemon_species, nickname, trainerName, 0)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Items/New HMs.rb:21,pbWildBattle,wild_encounter,"pbWildBattle(:GEODUDE,level)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Items/New Items effects.rb:500,pbWildBattle,wild_encounter,"pbWildBattle(:SPIRITOMB, 27)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Items/New Items effects.rb:1929,pbAddPokemonSilent,permanent_candidate,"Kernel.pbAddPokemonSilent(poke2, poke2.level)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Overworld/Events/OverworldEventUtils.rb:494,pbGenerateEgg,egg_candidate,pbGenerateEgg(pokemon),,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Overworld/OverworldEncounters.rb:7,pbWildBattle,wild_encounter,"pbWildBattle(:FOMANTIS, 10)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Overworld/OverworldEncounters.rb:34,pbWildBattle,wild_encounter,"pbWildBattle(:FOMANTIS, 4)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Overworld/OverworldEncounters.rb:46,pbWildBattle,wild_encounter,"pbWildBattle(:FOMANTIS, 10)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/Overworld/OverworldEncounters.rb:143,pbWildBattle,wild_encounter,"pbWildBattle(pokemon, level)",,,,,
acquisition_source_call,052_InfiniteFusion/Gameplay/WonderTrade/Wondertrade.rb:121,pbStartTrade,trade_candidate,"newpoke = pbStartTrade(pbGet(1), species, pname, tname, 0, true) # Starts the trade",,,,,
acquisition_source_call,053_PIF_Hoenn/HoennGameplayUtils.rb:4,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(selected_starter),,,,,
acquisition_source_call,053_PIF_Hoenn/HoennGameplayUtils.rb:11,pbAddPokemonSilent,permanent_candidate,pbAddPokemonSilent(selected_starter),,,,,
acquisition_source_call,053_PIF_Hoenn/OverworldPokemon/OverworldPokemonBehavior.rb:64,pbWildBattleSpecific,wild_encounter,"pbWildBattleSpecific(Pokemon.new(fusion_species, fusion_level))",,,,,
acquisition_source_call,053_PIF_Hoenn/OverworldPokemon/OverworldPokemonBehavior.rb:75,pbWildBattleSpecific,wild_encounter,pbWildBattleSpecific(battler),,,,,
acquisition_source_call,053_PIF_Hoenn/OverworldPokemon/OverworldPokemonBehavior.rb:79,pbWildBattleSpecific,wild_encounter,pbWildBattleSpecific(battler),,,,,
acquisition_source_call,053_PIF_Hoenn/TrainerRematches/TrainerRematch_Trade.rb:229,pbStartTrade,trade_candidate,"pbStartTrade(chosen_index, offered_pokemon, offered_pokemon.name, trainer.trainerName, 0)",,,,,
resource_call,map:6|event:66|page:1,pbPokemonMart,filtered_standard_mart,pbGet(1022)),,,,,
resource_call,map:6|event:66|page:2,pbPokemonMart,filtered_standard_mart,pbGet(1022)),,,,,
resource_call,map:6|event:67|page:1,pbPokemonMart,filtered_standard_mart,pbGet(1023)),,,,,
resource_call,map:6|event:67|page:2,pbPokemonMart,filtered_standard_mart,pbGet(1023)),,,,,
resource_call,map:6|event:98|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:SUPERPOTION),,,,,
resource_call,map:6|event:73|page:1,pbPokemonMart,filtered_standard_mart,[pbGet(1018)]),,,,,
resource_call,map:6|event:73|page:2,pbPokemonMart,filtered_standard_mart,[pbGet(1018)]),,,,,
resource_call,map:6|event:64|page:1,pbPokemonMart,filtered_standard_mart,[,,,,,
resource_call,map:6|event:65|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:SOOTHEBELL),,,,,
resource_call,map:7|event:16|page:5,pbReceiveItem,authored_gift_or_randomized_tm_gift,":ORANBERRY,3)",,,,,
resource_call,map:7|event:16|page:5,pbReceiveItem,authored_gift_or_randomized_tm_gift,":CHERIBERRY,3)",,,,,
resource_call,map:7|event:16|page:5,pbReceiveItem,authored_gift_or_randomized_tm_gift,":SITRUSBERRY,4)",,,,,
resource_call,map:7|event:36|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:RARECANDY),,,,,
resource_call,map:8|event:17|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:DNASPLICERS),,,,,
resource_call,map:10|event:19|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POTION),,,,,
resource_call,map:11|event:27|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:GUARDSPEC),,,,,
resource_call,map:11|event:25|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PPUP),,,,,
resource_call,map:11|event:21|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:DNASPLICERS),,,,,
resource_call,map:12|event:16|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,:FIELDSLEEPINGBAG),,,,,
resource_call,map:12|event:33|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:ANTIDOTE),,,,,
resource_call,map:12|event:30|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:DNASPLICERS),,,,,
resource_call,map:12|event:31|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POTION),,,,,
resource_call,map:12|event:32|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:HEARTSCALE),,,,,
resource_call,map:13|event:97|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PRESENT),,,,,
resource_call,map:13|event:98|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PRESENT),,,,,
resource_call,map:18|event:24|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PRESENT),,,,,
resource_call,map:18|event:20|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,":POKEBALL,5)",,,,,
resource_call,map:20|event:5|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,:SITRUSBERRY),,,,,
resource_call,map:20|event:33|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PPUP),,,,,
resource_call,map:20|event:6|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:SUPERPOTION),,,,,
resource_call,map:20|event:29|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PPUP),,,,,
resource_call,map:20|event:7|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:WHITEHERB),,,,,
resource_call,map:20|event:2|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:XACCURACY),,,,,
resource_call,map:20|event:8|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:TM49),,,,,
resource_call,map:20|event:30|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:TM32) #Double team,,,,,
resource_call,map:20|event:36|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,":SUPERPOTION,3)",,,,,
resource_call,map:20|event:4|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POKEBALL),,,,,
resource_call,map:20|event:10|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:CHESTOBERRY),,,,,
resource_call,map:24|event:25|page:1,pbPokemonMart,filtered_standard_mart,it),,,,,
resource_call,map:27|event:17|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PRESENT),,,,,
resource_call,map:27|event:9|page:3,pbReceiveItem,authored_gift_or_randomized_tm_gift,:HARDSTONE),,,,,
resource_call,map:27|event:10|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,":POKEBALL,5)",,,,,
resource_call,map:28|event:1|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,PBItems::HM04),,,,,
resource_call,map:28|event:7|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,:DEVONPARTS),,,,,
resource_call,map:28|event:2|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,PBItems::HM04),,,,,
resource_call,map:28|event:3|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POKEBALL),,,,,
resource_call,map:28|event:20|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:TINYMUSHROOM),,,,,
resource_call,map:28|event:4|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:MAXETHER),,,,,
resource_call,map:30|event:27|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:44|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:MIRACLESEED),,,,,
resource_call,map:30|event:22|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:17|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:28|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:23|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:34|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PARLYZHEAL),,,,,
resource_call,map:30|event:1|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,:GREATBALL),,,,,
resource_call,map:30|event:40|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:TINYMUSHROOM),,,,,
resource_call,map:30|event:29|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:24|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:35|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,":REPEL,2)",,,,,
resource_call,map:30|event:25|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:36|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POTION),,,,,
resource_call,map:30|event:42|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:DNASPLICERS),,,,,
resource_call,map:30|event:20|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:31|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:DNASPLICERS),,,,,
resource_call,map:30|event:26|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:30|event:43|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:TINYMUSHROOM),,,,,
resource_call,map:30|event:21|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MUSHROOMSPORES),,,,,
resource_call,map:31|event:16|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:SUPERPOTION),,,,,
resource_call,map:31|event:33|page:2,pbReceiveItem,authored_gift_or_randomized_tm_gift,:MOONSTONE),,,,,
resource_call,map:31|event:17|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:REPEL),,,,,
resource_call,map:31|event:12|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:XSPATK),,,,,
resource_call,map:31|event:34|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:NUGGET),,,,,
resource_call,map:31|event:45|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:AWAKENING),,,,,
resource_call,map:31|event:13|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:BLACKGLASSES),,,,,
resource_call,map:31|event:14|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POTION),,,,,
resource_call,map:31|event:15|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:ETHER),,,,,
resource_call,map:31|event:43|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:WISEGLASSES),,,,,
resource_call,map:31|event:32|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:ANTIDOTE),,,,,
resource_call,map:32|event:5|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:ESCAPEROPE),,,,,
resource_call,map:32|event:4|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:HM09),,,,,
resource_call,map:34|event:66|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:POKEBALL),,,,,
resource_call,map:35|event:5|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:EVERSTONE),,,,,
resource_call,map:35|event:6|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:EVERSTONE),,,,,
resource_call,map:35|event:12|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:TM65) #SHADOWCLAW,,,,,
resource_call,map:35|event:3|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:REPEL),,,,,
resource_call,map:35|event:4|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:RARECANDY),,,,,
resource_call,map:36|event:3|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:TM118),,,,,
resource_call,map:38|event:33|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:STARPIECE),,,,,
resource_call,map:38|event:34|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PEARL),,,,,
resource_call,map:38|event:35|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:HEARTSCALE),,,,,
resource_call,map:38|event:36|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:HEARTSCALE),,,,,
resource_call,map:38|event:31|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:AQUAUNIFORM),,,,,
resource_call,map:38|event:64|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PRESENT),,,,,
resource_call,map:38|event:37|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:HEARTSCALE),,,,,
resource_call,map:38|event:32|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:RARECANDY),,,,,
resource_call,map:39|event:47|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:ETHER),,,,,
resource_call,map:39|event:48|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:HEARTSCALE),,,,,
resource_call,map:39|event:39|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,":DNASPLICERS,3)",,,,,
resource_call,map:39|event:49|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PEARL),,,,,
resource_call,map:39|event:78|page:1,pbReceiveItem,authored_gift_or_randomized_tm_gift,:SPRAYCAN),,,,,
resource_call,map:39|event:50|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:REVIVE),,,,,
resource_call,map:39|event:41|page:1,pbItemBall,randomized_ground_or_explicit_bypass,:PPUP),,,,,
