map_id,area_name,hierarchy,trainer_events,trainer_battle_calls,trainer_identities,encounter_table_count,encounter_slots_total,encounter_slots_base,encounter_slots_time,encounter_slots_weather,encounter_slots_by_type,unique_encounter_species,ground_item_events,ground_items_standard,ground_items_special,ground_item_options,ground_item_ids,hidden_items_itemfinder,hidden_items_named,hidden_items_inferred,hidden_item_ids,visible_item_events,event_count,trainer_named_without_call,trainer_call_without_name
28,Rusturf Tunnel,Hoenn > Dungeons > Rusturf Tunnel,2,2,HIKER:Mike|TEAM_MAGMA_GRUNT_M:Walter,3,5,5,0,0,Cave:1|Land:3|RockSmash:1,4,2,2,0,2,MAXETHER|POKEBALL,1,0,1,TINYMUSHROOM,2,29,,
29,Dungeons,Hoenn > Dungeons,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
30,Petalburg Woods,Hoenn > Dungeons > Petalburg Woods,3,3,BUGCATCHER:James|BUGCATCHER:Lyle|TEAM_MAGMA_GRUNT_M:Walter,10,39,10,21,8,Land1:5|Land3:5|LandDay:7|LandFog:1|LandMorning:7|LandNight:7|LandRain:3|LandStorm:2|LandSunny:1|LandWind:1,14,3,3,0,3,DNASPLICERS|MIRACLESEED|PARLYZHEAL,4,0,4,DNASPLICERS|POTION|TINYMUSHROOM,3,42,,
31,Route 116,Hoenn > Routes > Route 116,10,10,BUGCATCHER:Jose|HIKER:Clark|HIKER:Devan|LADY:Sarah|RICHBOY:Dawson|SCHOOLBOY:Jerry|SCHOOLGIRL:Karen|SCHOOLMATE_SR:Janice|YOUNGSTER:Joey|YOUNGSTER:Johnson,8,22,10,5,7,Land:6|Land2:4|LandFog:1|LandNight:5|LandRain:2|LandStorm:1|LandSunny:1|LandWind:2,14,6,6,0,6,ANTIDOTE|ETHER|POTION|REPEL|SUPERPOTION|XSPATK,3,1,3,AWAKENING|BLACKGLASSES|NUGGET|WISEGLASSES,6,47,,
32,Granite Cave 1F,Hoenn > Dungeons > Granite Cave 1F,0,0,,1,4,4,0,0,Cave:4,4,1,1,0,1,ESCAPEROPE,0,0,0,,1,9,,
33,Granite Cave 1F-2_alt,Hoenn > Dungeons > Granite Cave 1F > Granite Cave 1F-2_alt,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,1,,
34,Granite Cave B1F,Hoenn > Dungeons > Granite Cave 1F > Granite Cave B1F,0,0,,1,5,5,0,0,Cave:5,5,1,1,0,1,POKEBALL,0,0,0,,1,76,,
35,Granite Cave B2F,Hoenn > Dungeons > Granite Cave 1F > Granite Cave B2F,0,0,,2,8,8,0,0,Cave:6|RockSmash:2,8,3,3,0,3,RARECANDY|REPEL|TM65,0,0,2,EVERSTONE,3,12,,
36,Granite Cave 1F-2,Hoenn > Dungeons > Granite Cave 1F > Granite Cave 1F-2,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,7,,
37,Route 107,Hoenn > Routes > Route 107,0,0,,10,22,11,2,9,GoodRod:4|OldRod:3|SuperRod:1|Water:3|WaterFog:2|WaterNight:2|WaterRain:2|WaterStorm:2|WaterSunny:2|WaterWind:1,12,0,0,0,0,,0,0,0,,0,3,,
38,Route 108,Hoenn > Routes > Route 108,0,0,,10,26,12,3,11,GoodRod:4|OldRod:3|SuperRod:1|Water:4|WaterFog:3|WaterNight:3|WaterRain:2|WaterStorm:2|WaterSunny:3|WaterWind:1,11,3,2,1,3,PEARL|PRESENT|STARPIECE,4,0,4,HEARTSCALE|RARECANDY,3,65,,
39,Route 109,Hoenn > Routes > Route 109,8,8,SAILOR:Edmond|SAILOR:Huey|TEAM_AQUA_GRUNT_F:Martha|TEAM_MAGMA_GRUNT_M:Greg|TUBER_F:Hailey|TUBER_F:Lola|TUBER_M:Chandler|TUBER_M:Ricky,11,22,13,3,6,GoodRod:4|Land:2|OldRod:3|SuperRod:1|Water:3|WaterFog:2|WaterNight:3|WaterRain:1|WaterStorm:1|WaterSunny:1|WaterWind:1,11,4,4,0,4,LEMONADE|MAXREVIVE|PPUP|SUPERPOTION,7,0,7,ETHER|GREATBALL|HEARTSCALE|PEARL|REVIVE,4,100,,
40,Route 110,Hoenn > Routes > Route 110 > Route 110,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,16,,
41,quest_route 104N,New maps > Paya > quest_route 104N,3,3,FISHERMAN:Ivan|LASS:Haley|RICHBOY:Winston,0,0,0,0,0,,0,5,5,0,5,POKEBALL|PPUP|TM32|XACCURACY,1,0,1,SUPERPOTION,5,35,,
42,Orre Desert,New maps > Paya > Orre Desert,1,1,RIDER:Willie,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,15,,
43,MAP043,New maps > Paya > MAP043,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
44,MAP044,New maps > Paya > MAP044,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
45,MAP045,New maps > Paya > MAP045,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
46,MAP046,New maps > Paya > MAP046,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
47,Rustboro City,Hoenn > Cities > Rustboro City,0,0,,0,0,0,0,0,,0,4,4,0,4,AWAKENING|DNASPLICERS|FUSIONREPEL|GREATBALL,1,0,1,STARDUST,4,93,,
48,Rustboro Interiors,Hoenn > Cities > Rustboro City > Rustboro Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,115,,
49,Route 106,Hoenn > Routes > Route 106,2,2,FISHERMAN:Elliot|FISHERMAN:Ned,11,26,15,2,9,GoodRod:4|Land2:3|OldRod:3|SuperRod:2|Water:3|WaterFog:1|WaterNight:2|WaterRain:2|WaterStorm:4|WaterSunny:1|WaterWind:1,11,1,1,0,1,SUPERPOTION,3,0,3,DNASPLICERS|HEARTSCALE|STARDUST,1,26,,
50,Route 105,Hoenn > Routes > Route 105,0,0,,10,23,12,2,9,GoodRod:4|OldRod:3|SuperRod:2|Water:3|WaterFog:1|WaterNight:2|WaterRain:2|WaterStorm:4|WaterSunny:1|WaterWind:1,9,0,0,0,0,,0,0,0,,0,2,,
51,Dewford Town,Hoenn > Cities > Dewford Town,0,0,,10,23,12,2,9,GoodRod:4|OldRod:3|SuperRod:2|Water:3|WaterFog:1|WaterNight:2|WaterRain:2|WaterStorm:4|WaterSunny:1|WaterWind:1,9,0,0,0,0,,0,0,0,,0,21,,
52,MAP052,New maps > Kiwi > MAP052,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
53,MAP053,New maps > Kiwi > MAP053,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
54,MAP054,New maps > Kiwi > MAP054,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
55,MAP055,New maps > Kiwi > MAP055,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
56,MAP056,New maps > Kiwi > MAP056,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
57,PokéMart,Hoenn > Cities > Oldale Town > PokéMart,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,18,,
58,Seaside Cottage,Hoenn > Routes > Route 104 (South) > Seaside Cottage,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,5,,
59,Oldale Interiors,Hoenn > Cities > Oldale Town > Oldale Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,15,,
60,Petalburg Interiors,Hoenn > Cities > Petalburg Town > Petalburg Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,19,,
61,Petalburg Gym,Hoenn > Cities > Petalburg Town > Petalburg Gym,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,12,,
62,Hidden Clearing,Hoenn > Dungeons > Petalburg Woods > Hidden Clearing,0,0,,10,40,11,21,8,Land1:5|Land3:6|LandDay:7|LandFog:1|LandMorning:7|LandNight:7|LandRain:3|LandStorm:2|LandSunny:1|LandWind:1,16,1,1,0,1,LEAFSTONE,0,0,0,,1,10,,
63,Flower Shop,Hoenn > Routes > Route 104 (North) > Flower Shop,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,23,,
64,Secret Base,COMMON > Secret Base,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,26,,
65,Route 115,Hoenn > Routes > Route 115,0,0,,19,39,21,8,10,GoodRod:3|Land:4|Land1:5|Land3:2|LandFog:1|LandNight:5|LandRain:1|LandStorm:1|LandSunny:1|LandWind:1|OldRod:2|SuperRod:1|Water:4|WaterFog:1|WaterNight:3|WaterRain:1|WaterStorm:1|WaterSunny:1|WaterWind:1,21,10,7,3,10,COMETSHARD|GREATBALL|HEALPOWDER|IRON|PPUP|SUPERPOTION|TM01,0,0,1,ELIXIR,10,34,,
66,Secret Base,Hoenn > Routes > Route 115 > Secret Base,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,8,,
67,On the road!,COMMON > Cinematics > On the road!,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,7,,
68,Slateport Interiors,Hoenn > Cities > Slateport City > Slateport Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,24,,
69,Hidden Cove,Hoenn > Routes > Route 106 > Hidden Cove,0,0,,13,32,20,2,10,GoodRod:4|Land:5|Land2:3|LandSunny:1|OldRod:3|SuperRod:2|Water:3|WaterFog:1|WaterNight:2|WaterRain:2|WaterStorm:4|WaterSunny:1|WaterWind:1,17,2,2,0,2,PRISMSCALE|TM105,0,0,0,,2,6,,
70,Altering Cave,Hoenn > Dungeons > Altering Cave,0,0,,1,2,2,0,0,Cave:2,2,0,0,0,0,,0,0,0,,0,3,,
71,Route 110,Hoenn > Routes > Route 110,12,12,BEAUTY:Melissa|COLLECTOR:Edwin|FISHERMAN:Dale|POKEFAN_F:Isabel|PSYCHIC_F:Jaclyn|PSYCHIC_M:Edward|TRIATHLETE_BIKE_F:Abigail|TRIATHLETE_BIKE_F:Jasmine|TRIATHLETE_BIKE_M:Anthony|TRIATHLETE_BIKE_M:Benjamin|TRIATHLETE_BIKE_M:Jacob|YOUNGSTER:Timmy,16,49,21,16,12,GoodRod:3|Land1:3|Land2:4|Land3:3|LandDay:7|LandFog:2|LandNight:7|LandRain:2|LandStorm:3|LandSunny:3|LandWind:1|OldRod:2|SuperRod:3|Water:3|WaterFog:1|WaterNight:2,24,9,9,0,9,DAWNSTONE|DIREHIT|ELIXIR|MAXREVIVE|RARECANDY|SUPERPOTION|THUNDERSTONE|TM12|TM62,5,0,5,DNAREVERSER|DNAREVERSERS|FULLHEAL|GREATBALL|REVIVE,9,77,,
72,testing,COMMON > DEBUG > testing,0,0,,1,3,3,0,0,Land:3,3,0,0,0,0,,0,0,0,,0,18,,
73,Mauville City,Hoenn > Cities > Mauville City,4,4,AROMALADY:Celina|CAMPER:Tyron|TEAM_AQUA_GRUNT_M:Cedric|TEAM_MAGMA_GRUNT_M:Vic,0,0,0,0,0,,0,3,3,0,3,REVIVE|TM48|XSPEED,0,2,0,,3,72,,
74,Route 117,Hoenn > Routes > Route 117,7,7,BUGMANIAC:Derek|CRUSHGIRL:Aisha|POKEMONBREEDER_F:Lydia|POKEMONBREEDER_M:Isaac|TRIATHLETE_RUN_F:Maria|TRIATHLETE_RUN_F:Melina|TRIATHLETE_RUN_M:Dylan,14,36,19,6,11,GoodRod:3|Land:6|Land3:3|LandFog:2|LandNight:6|LandRain:1|LandStorm:2|LandSunny:2|LandWind:1|OldRod:2|SuperRod:1|Water:4|WaterRain:2|WaterSunny:1,16,2,2,0,2,GREATBALL|REVIVE,1,0,1,REPEL,2,39,,
75,Mauville City Interiors,Hoenn > Cities > Mauville City > Mauville City Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,1,FULLHEAL,0,96,,
76,Route 118,Hoenn > Routes > Route 118,4,4,AROMALADY:Rose|FISHERMAN:Wade|ROCKER:Dalton|YOUNGSTER:Deandre,19,45,21,7,17,GoodRod:2|Land:4|Land2:2|LandFog:1|LandNight:4|LandRain:2|LandStorm:3|LandSunny:2|LandWind:2|OldRod:2|SuperRod:2|TallGrass:5|Water:4|WaterFog:1|WaterNight:3|WaterRain:2|WaterStorm:1|WaterSunny:1|WaterWind:2,17,2,2,0,2,HYPERPOTION|THUNDERSTONE,2,2,2,HEARTSCALE|IRON,2,19,,
77,Route 111 (South),Hoenn > Routes > Route 111 (South),6,6,CAMPER:Hayden|EXPERT_F:Vicky|LASS:Bianca|LASS:Vivi|POKEFAN_F:Victoria|POKEFAN_M:Victor,11,22,13,3,6,GoodRod:3|Land:3|LandFog:1|LandNight:3|LandSunny:1|LandWind:1|OldRod:2|SuperRod:1|Water:4|WaterRain:2|WaterSunny:1,13,3,3,0,3,ELIXIR|HPUP|PPMAX,0,0,0,,3,35,,
78,Rustboro Gym,Hoenn > Cities > Rustboro City > Rustboro Gym,4,4,HIKER:Marc|LEADER_Roxanne:Roxanne|YOUNGSTER:Josh|YOUNGSTER:Tommy,1,4,4,0,0,Land:4,4,1,0,1,1,PRESENT,0,0,0,,1,15,,
79,Dewford Gym,Hoenn > Cities > Dewford Town > Dewford Gym,1,1,LEADER_Brawly:Brawly,1,3,3,0,0,Land:3,3,1,0,1,1,PRESENT,0,0,0,,1,18,,
80,Dewford Gym,Hoenn > Cities > Dewford Town > Dewford Gym,6,6,BLACKBELT:Cristian|BLACKBELT:Takao|CRUSHGIRL:Jocelyn|CRUSHGIRL:Laura|CRUSHGIRL:Lilith|SAILOR:Brendan,1,4,4,0,0,Land:4,4,0,0,0,0,,0,0,0,,0,13,,
81,Dewford Town Interiors,Hoenn > Cities > Dewford Town > Dewford Town Interiors,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,20,,
82,Seashore House,Hoenn > Routes > Route 109 > Seashore House,3,3,BEAUTY:Johanna|SAILOR:Dwayne|TUBER_M:Simon,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,10,,
83,Verdanturf Town,Hoenn > Cities > Verdanturf Town,1,1,MUSICIAN:Louis,0,0,0,0,0,,0,1,1,0,1,TM54,0,0,0,,1,34,,
84,Verdanturf Interiors,Hoenn > Cities > Verdanturf Town > Verdanturf Interiors,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,20,,
85,Space Station,COMMON > Cinematics > Space Station,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,2,,
86,Route 116,Hoenn > Routes > Route 116 > Route 116,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,5,,
87,Oceanic Museum,Hoenn > Cities > Slateport City > Oceanic Museum,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,98,,
88,Stern's Shipyard,Hoenn > Cities > Slateport City > Stern's Shipyard,0,0,,0,0,0,0,0,,0,0,0,0,0,,1,0,1,ETHER,0,40,,
89,Slateport Harbor,Hoenn > Cities > Slateport City > Slateport Harbor,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,9,,
90,Magma Camp,Hoenn > Routes > Route 103 > Magma Camp,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,23,,
91,cutscene_1,Hoenn > Cities > Slateport City > Oceanic Museum > cutscene_1,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,28,,
92,PokéMart_Kanto,COMMON > Common Maps > archive > PokéMart_Kanto,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,18,,
93,QUEST_TEMPLATES,COMMON > QUEST_TEMPLATES,1,3,TEAM_MAGMA_GRUNT_M:Simon,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,2,,
94,Clothing Boutique,COMMON > Common Maps > Clothing Boutique,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,17,,
95,PokéMart_combined,COMMON > Common Maps > archive > PokéMart_combined,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,9,,
96,Game Corner,Hoenn > Cities > Mauville City > Game Corner,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,25,,
97,Illusion Grove,Hoenn > Dungeons > Petalburg Woods > Illusion Grove,0,0,,2,12,12,0,0,Land:5|Land1:7,7,4,4,0,4,DNAREVERSERS|SMOKEBALL|TM95|TM97,0,0,0,,4,61,,
98,Illusion Grove,Hoenn > Dungeons > Petalburg Woods > Illusion Grove > Illusion Grove,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,10,,
99,Trick House,Hoenn > Routes > Route 110 > Trick House,0,0,,0,0,0,0,0,,0,1,1,0,2,LANTERN|MACHETE,0,2,0,,1,14,,
100,Clothes testing,COMMON > DEBUG > Clothes testing,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,14,,
101,Pokémon Day Care,Hoenn > Routes > Route 117 > Pokémon Day Care,0,0,,0,0,0,0,0,,0,1,0,1,1,PRESENT,0,0,0,,1,8,,
102,Mauville Gym,Hoenn > Cities > Mauville City > Mauville Gym,6,6,BUGMANIAC:Angelo|CRUSHGIRL:Vivian|LEADER_Wattson:Wattson|ROCKER:Kirk|ROCKER:Shawn|YOUNGSTER:Ben,1,7,7,0,0,Land:7,7,1,0,1,1,PRESENT,0,0,0,,1,34,,
103,DEBUG,COMMON > DEBUG,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
104,Route 111,Hoenn > Routes > Route 111 (South) > Route 111,0,0,,2,11,6,5,0,Land:6|LandNight:5,9,0,0,0,0,,0,0,0,,0,8,,
105,archive,COMMON > Common Maps > archive,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,0,,
106,New Mauville,Hoenn > Dungeons > New Mauville,0,0,,0,0,0,0,0,,0,1,1,0,1,TM123,0,0,0,,1,4,,
107,Trick House 2,Hoenn > Routes > Route 110 > Trick House > Trick House 2,2,2,CLOWN:Bob|CLOWN:Vinny,0,0,0,0,0,,0,3,3,0,3,LAVACOOKIE|RARECANDY,0,0,0,,3,17,,
108,Trick House 1,Hoenn > Routes > Route 110 > Trick House > Trick House 1,3,3,LASS:Robin|LASS:Sally|YOUNGSTER:Eddie,0,0,0,0,0,,0,4,4,0,4,ESCAPEROPE|LAVACOOKIE|RARECANDY,0,0,0,,4,24,,
109,Cliffside Sanctuary,Hoenn > Routes > Route 103 > Cliffside Sanctuary,0,0,,0,0,0,0,0,,0,1,1,0,1,MAXREVIVE,0,0,0,,1,30,,
110,Contest Hall,COMMON > Common Maps > Contest Hall,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,81,,
111,Cliffside Sanctuary,Hoenn > Routes > Route 103 > Cliffside Sanctuary > Cliffside Sanctuary,0,0,,0,0,0,0,0,,0,1,1,0,1,MAXREVIVE,0,0,0,,1,30,,
112,Underwater,Hoenn > Routes > Route 105 > Underwater,0,0,,1,5,5,0,0,Land:5,5,0,0,0,0,,0,0,0,,0,0,,
295,Intro,COMMON > Cinematics > Intro,0,0,,0,0,0,0,0,,0,0,0,0,0,,0,0,0,,0,2,,
