map_id,area_name,event_id,x,y,pickup_kind,event_name,item_ids,visual
69,Hidden Cove,5,31,6,standard_ground_item,Item,TM105,Objects
69,Hidden Cove,6,16,24,standard_ground_item,Item,PRISMSCALE,Objects
71,Route 110,29,25,26,standard_ground_item,Item,MAXREVIVE,Objects
71,Route 110,39,32,58,standard_ground_item,Item,TM62,Objects
71,Route 110,12,31,93,standard_ground_item,Item,SUPERPOTION,Objects
71,Route 110,50,15,38,standard_ground_item,Item,ELIXIR,Objects
71,Route 110,70,10,55,standard_ground_item,Item,DAWNSTONE,Objects
71,Route 110,53,32,46,standard_ground_item,Item,RARECANDY,Objects
71,Route 110,7,39,90,standard_ground_item,Item,TM12,Objects
71,Route 110,8,18,82,standard_ground_item,Item,THUNDERSTONE,Objects
71,Route 110,56,41,69,standard_ground_item,Item,DIREHIT,Objects
73,Mauville City,20,36,15,standard_ground_item,Item,REVIVE,Objects
73,Mauville City,68,2,36,standard_ground_item,Item,TM48,Objects
73,Mauville City,34,27,41,standard_ground_item,Item,XSPEED,Objects
74,Route 117,7,17,29,standard_ground_item,Item,GREATBALL,Objects
74,Route 117,8,8,8,standard_ground_item,Item,REVIVE,Objects
76,Route 118,7,68,16,standard_ground_item,Item,HYPERPOTION,Objects
76,Route 118,8,64,9,standard_ground_item,Item,THUNDERSTONE,Objects
77,Route 111 (South),35,10,57,standard_ground_item,Item,PPMAX,Objects
77,Route 111 (South),3,39,67,standard_ground_item,Item,ELIXIR,Objects
77,Route 111 (South),4,8,64,standard_ground_item,Item,HPUP,Objects
78,Rustboro Gym,15,13,32,special_present,Item Present,PRESENT,Objects
79,Dewford Gym,18,13,27,special_present,Item Present,PRESENT,Objects
83,Verdanturf Town,18,33,6,standard_ground_item,Item,TM54,Objects
84,Verdanturf Interiors,20,9,8,special_present,Item Present,PRESENT,Objects
90,Magma Camp,23,11,8,special_present,Item Present,PRESENT,Objects
94,Clothing Boutique,17,10,3,special_present,Item Present,PRESENT,Objects
97,Illusion Grove,49,7,46,standard_ground_item,Item,TM95,Objects
97,Illusion Grove,60,12,37,standard_ground_item,Item,DNAREVERSERS,Objects
97,Illusion Grove,50,32,47,standard_ground_item,Item,SMOKEBALL,Objects
97,Illusion Grove,25,47,42,standard_ground_item,Item,TM97,Objects
99,Trick House,8,37,6,standard_ground_item,Item,LANTERN|MACHETE,Objects
101,Pokémon Day Care,7,13,7,special_present,Item Present,PRESENT,Objects
102,Mauville Gym,34,13,32,special_present,Item Present,PRESENT,Objects
106,New Mauville,4,9,15,standard_ground_item,Item,TM123,Objects
107,Trick House 2,16,27,13,standard_ground_item,Item,LAVACOOKIE,Objects
107,Trick House 2,17,18,13,standard_ground_item,"Item size(2,1)",RARECANDY,Objects
107,Trick House 2,15,10,9,standard_ground_item,Item,LAVACOOKIE,Objects
108,Trick House 1,22,9,20,standard_ground_item,Item,LAVACOOKIE,Objects
108,Trick House 1,23,19,21,standard_ground_item,Item,LAVACOOKIE,Objects
108,Trick House 1,24,23,8,standard_ground_item,Item,RARECANDY,Objects
108,Trick House 1,25,18,26,standard_ground_item,Item,ESCAPEROPE,Objects
109,Cliffside Sanctuary,22,31,11,standard_ground_item,Item,MAXREVIVE,Objects
111,Cliffside Sanctuary,22,31,11,standard_ground_item,Item,MAXREVIVE,Objects
