area_name,map_ids,trainer_events,trainer_battle_calls,encounter_table_count,encounter_slots_total,encounter_slots_base,encounter_slots_time,encounter_slots_weather,unique_encounter_species,ground_item_events,ground_items_standard,ground_items_special,ground_item_options,ground_item_ids,hidden_items_itemfinder,hidden_items_named,hidden_items_inferred,hidden_item_ids
Magma Camp,90,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
MAP043,43,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP044,44,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP045,45,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP046,46,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP052,52,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP053,53,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP054,54,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP055,55,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
MAP056,56,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Mauville City,73,4,4,0,0,0,0,0,0,3,3,0,3,REVIVE|TM48|XSPEED,0,2,0,
Mauville City Interiors,75,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,FULLHEAL
Mauville Gym,102,6,6,1,7,7,0,0,7,1,0,1,1,PRESENT,0,0,0,
New maps,15,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
New Mauville,106,0,0,0,0,0,0,0,0,1,1,0,1,TM123,0,0,0,
Oceanic Museum,87,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Oldale Interiors,59,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Oldale Town,8,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
On the road!,67,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Orre Desert,42,1,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Paya,17,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Petalburg Gym,61,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Petalburg Interiors,60,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Petalburg Town,7,0,0,9,18,9,0,9,12,1,1,0,1,RARECANDY,0,0,0,
Petalburg Town_diveTest,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Petalburg Woods,30,3,3,10,39,10,21,8,14,3,3,0,3,DNASPLICERS|MIRACLESEED|PARLYZHEAL,4,0,4,DNASPLICERS|POTION|TINYMUSHROOM
PokéMart,24|57,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
PokéMart_combined,95,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
PokéMart_Kanto,92,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Pokémon Center,25,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Pokémon Day Care,101,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Professor Birch's Lab,18,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
quest_route 104N,41,3,3,0,0,0,0,0,0,5,5,0,5,POKEBALL|PPUP|TM32|XACCURACY,1,0,1,SUPERPOTION
QUEST_TEMPLATES,93,1,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Route 101,5,0,0,8,17,0,12,5,4,0,0,0,0,,0,0,0,
Route 102,10,4,4,14,28,16,0,12,14,1,1,0,1,POTION,0,0,0,
Route 103,11,7,7,17,30,10,11,9,12,2,2,0,2,GUARDSPEC|PPUP,0,0,0,
Route 104 (North),20,3,3,17,41,24,0,17,20,5,5,0,5,POKEBALL|PPUP|TM32|XACCURACY,1,0,1,SUPERPOTION
Route 104 (South),12|19,4,4,16,28,10,2,16,15,1,1,0,1,DNASPLICERS,3,0,3,ANTIDOTE|HEARTSCALE|POTION
Route 105,50,0,0,10,23,12,2,9,9,0,0,0,0,,0,0,0,
Route 106,49,2,2,11,26,15,2,9,11,1,1,0,1,SUPERPOTION,3,0,3,DNASPLICERS|HEARTSCALE|STARDUST
Route 107,37,0,0,10,22,11,2,9,12,0,0,0,0,,0,0,0,
Route 108,38,0,0,10,26,12,3,11,11,3,2,1,3,PEARL|PRESENT|STARPIECE,4,0,4,HEARTSCALE|RARECANDY
Route 109,39,8,8,11,22,13,3,6,11,4,4,0,4,LEMONADE|MAXREVIVE|PPUP|SUPERPOTION,7,0,7,ETHER|GREATBALL|HEARTSCALE|PEARL|REVIVE
Route 110,40|71,12,12,16,49,21,16,12,24,9,9,0,9,DAWNSTONE|DIREHIT|ELIXIR|MAXREVIVE|RARECANDY|SUPERPOTION|THUNDERSTONE|TM12|TM62,5,0,5,DNAREVERSER|DNAREVERSERS|FULLHEAL|GREATBALL|REVIVE
Route 111,104,0,0,2,11,6,5,0,9,0,0,0,0,,0,0,0,
Route 111 (South),77,6,6,11,22,13,3,6,13,3,3,0,3,ELIXIR|HPUP|PPMAX,0,0,0,
Route 115,65,0,0,19,39,21,8,10,21,10,7,3,10,COMETSHARD|GREATBALL|HEALPOWDER|IRON|PPUP|SUPERPOTION|TM01,0,0,1,ELIXIR
Route 116,31|86,10,10,8,22,10,5,7,14,6,6,0,6,ANTIDOTE|ETHER|POTION|REPEL|SUPERPOTION|XSPATK,3,1,3,AWAKENING|BLACKGLASSES|NUGGET|WISEGLASSES
Route 117,74,7,7,14,36,19,6,11,16,2,2,0,2,GREATBALL|REVIVE,1,0,1,REPEL
Route 118,76,4,4,19,45,21,7,17,17,2,2,0,2,HYPERPOTION|THUNDERSTONE,2,2,2,HEARTSCALE|IRON
Routes,4,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Rustboro City,47,0,0,0,0,0,0,0,0,4,4,0,4,AWAKENING|DNASPLICERS|FUSIONREPEL|GREATBALL,1,0,1,STARDUST
Rustboro Gym,78,4,4,1,4,4,0,0,4,1,0,1,1,PRESENT,0,0,0,
Rustboro Interiors,48,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Rusturf Tunnel,28,2,2,3,5,5,0,0,4,2,2,0,2,MAXETHER|POKEBALL,1,0,1,TINYMUSHROOM
Seashore House,82,3,3,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Seaside Cottage,58,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Secret Base,64|66,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Slateport City,6,0,0,5,14,12,2,0,7,0,0,0,0,,1,0,1,SUPERPOTION
Slateport Harbor,89,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Slateport Interiors,68,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Space Station,85,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Stern's Shipyard,88,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,1,ETHER
testing,72,0,0,1,3,3,0,0,3,0,0,0,0,,0,0,0,
Trick House,99,0,0,0,0,0,0,0,0,1,1,0,2,LANTERN|MACHETE,0,2,0,
Trick House 1,108,3,3,0,0,0,0,0,0,4,4,0,4,ESCAPEROPE|LAVACOOKIE|RARECANDY,0,0,0,
Trick House 2,107,2,2,0,0,0,0,0,0,3,3,0,3,LAVACOOKIE|RARECANDY,0,0,0,
Truck,14,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
Underwater,112,0,0,1,5,5,0,0,5,0,0,0,0,,0,0,0,
Verdanturf Interiors,84,0,0,0,0,0,0,0,0,1,0,1,1,PRESENT,0,0,0,
Verdanturf Town,83,1,1,0,0,0,0,0,0,1,1,0,1,TM54,0,0,0,
Wonder Trade Center,26,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,
